arm,tp,conc,isl,osl,image,revision,total_tput,output_tput,total_token_throughput,request_throughput,completed,num_prompts,duration,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2el_ms,success,server_log,stdout,picklog
json,1,128,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,22001.25,10988.56,22001.25033846591,11.944071514981353,1280,1280,107.16613663895987,229.0425413621051,2100.066521272529,11.128234074855229,17.429023385175682,10475.228604756012,True,json_isl1024_osl1024_tp1_conc128.server.log,json_isl1024_osl1024_tp1_conc128.stdout,
json,1,16,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,6392.4,3179.28,6392.404913873767,3.4712325509927258,160,160,46.093137711053714,142.36689659155672,1090.8722198521718,4.768780329529105,5.7574771293896,4504.345754349197,True,json_isl1024_osl1024_tp1_conc16.server.log,json_isl1024_osl1024_tp1_conc16.stdout,
json,1,256,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,32017.66,16016.57,32017.662748437673,17.373392599482187,2560,2560,147.35176134086214,281.30311120103215,2686.78675170755,15.341360969403675,20.355814191623754,14432.991167027285,True,json_isl1024_osl1024_tp1_conc256.server.log,json_isl1024_osl1024_tp1_conc256.stdout,
json,1,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,10630.41,5323.63,10630.410597384738,5.7634289708249815,320,320,55.522502596955746,151.071143799345,1220.527732502669,5.6854985071637545,7.6837854614023975,5402.737724984763,True,json_isl1024_osl1024_tp1_conc32.server.log,json_isl1024_osl1024_tp1_conc32.stdout,
json,1,4,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,1831.29,911.19,1831.285534116266,0.9928761180944012,40,40,40.28699982911348,151.43016080837697,2104.930587315465,3.9620378859949126,5.847120904547349,3779.4115634285845,True,json_isl1024_osl1024_tp1_conc4.server.log,json_isl1024_osl1024_tp1_conc4.stdout,
json,1,64,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,15497.72,7747.12,15497.723347393796,8.404205891207187,640,640,76.15234660892747,148.08992443031457,867.5602380232899,7.862693129166463,14.338127058188764,7417.7799084496655,True,json_isl1024_osl1024_tp1_conc64.server.log,json_isl1024_osl1024_tp1_conc64.stdout,
json,1,8,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,3485.22,1749.07,3485.2176982412107,1.882591276741841,80,80,42.49461951106787,134.71579938486684,980.210898653604,4.332463468028828,5.435766859525876,4157.046057027765,True,json_isl1024_osl1024_tp1_conc8.server.log,json_isl1024_osl1024_tp1_conc8.stdout,
json,2,128,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,26916.06,13443.26,26916.055501807637,14.612228253806332,1280,1280,87.5978651419282,185.8087910750328,1388.733395326417,9.10417071911836,13.938244089723366,8566.961766069835,True,json_isl1024_osl1024_tp2_conc128.server.log,json_isl1024_osl1024_tp2_conc128.stdout,
json,2,16,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,8107.5,4032.29,8107.503138929664,4.402572925574236,160,160,36.34238494280726,114.20366826932877,989.1580620361492,3.7596169146799236,4.661767076629063,3552.722152513161,True,json_isl1024_osl1024_tp2_conc16.server.log,json_isl1024_osl1024_tp2_conc16.stdout,
json,2,256,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,37589.92,18804.05,37589.921210658365,20.39700599345708,2560,2560,125.50861635385081,238.91484883288285,2254.788760708179,13.089706057568923,17.46906116933266,12310.443277825743,True,json_isl1024_osl1024_tp2_conc256.server.log,json_isl1024_osl1024_tp2_conc256.stdout,
json,2,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,12677.86,6348.97,12677.861440130146,6.873483694987939,320,320,46.555722570978105,114.80385693430435,706.3156941067427,4.79034152498862,5.560279551727531,4539.594626574399,True,json_isl1024_osl1024_tp2_conc32.server.log,json_isl1024_osl1024_tp2_conc32.stdout,
json,2,4,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,2488.36,1238.13,2488.360061563461,1.3491250994556359,40,40,29.648844288894907,92.02045786660165,857.309546880424,3.03118637152636,3.5122009336480406,2872.7298566838726,True,json_isl1024_osl1024_tp2_conc4.server.log,json_isl1024_osl1024_tp2_conc4.stdout,
json,2,64,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,19370.16,9682.9,19370.156892718827,10.504174259812885,640,640,60.928159050876275,138.7046805659338,922.4838359607384,6.276478901400422,9.281820992961162,5932.406697102124,True,json_isl1024_osl1024_tp2_conc64.server.log,json_isl1024_osl1024_tp2_conc64.stdout,
