M,N,K,regime,pm_tflops,auto_tflops,rb_tflops,pm_vs_auto,pm_vs_rb,pm_ms,auto_ms,rb_ms
8192,5120,5120,LARGE-llama4_maverick,951.8945498905362,965.2436265026483,1183.0497110564488,0.9861702514830586,0.8046107792380982,0.45120200514793396,0.4449619948863983,0.3630419969558716
8192,16384,5120,LARGE-llama4_maverick,1008.174292067294,1039.1212100762568,1269.4269733686774,0.9702181827212518,0.7941963682967147,1.363245964050293,1.3226460218429565,1.0826849937438965
16384,16384,16384,LARGE-llama3_fp8,987.8009455062573,1019.7470068989936,1288.3306973445613,0.9686725617465818,0.7667293401781546,8.904722213745117,8.625760078430176,6.827511787414551
4,128,2880,LARGE_K-gpt_oss_120b,0.17428756593835604,0.10398871694141056,0.10971428658524339,1.676023813588866,1.5885585310983354,0.01692100055515766,0.028359999880194664,0.02687999978661537
32,128,5120,LARGE_K-llama4_maverick,2.245344672286891,1.1650844945987675,2.245344672286891,1.9271947079341605,1.0,0.01868000067770481,0.035999998450279236,0.01868000067770481
256,256,7168,LARGE_K-deepseek_r1,40.01380311011728,15.617089393576348,43.09743516034004,2.5621805767837786,0.9284497548693932,0.023479999974370003,0.06015999987721443,0.021800000220537186
64,64,4096,LARGE_K_SKINNY-synthetic,1.983122421742703,1.045961149301002,0.983424124151846,1.8959809578663511,2.0165484789719255,0.016920000314712524,0.03207999840378761,0.03412000089883804
64,64,8192,LARGE_K_SKINNY-synthetic,2.917776689981096,1.442580959159941,3.569620477025804,2.022608624808279,0.8173912909677664,0.023000000044703484,0.04651999846100807,0.018799999728798866
32,64,16384,LARGE_K_SKINNY-synthetic,1.9195898376176281,0.889566100917742,3.6235888746740463,2.1578945461582197,0.5297482424217624,0.034960001707077026,0.07543999701738358,0.018519999459385872
32768,128,2880,LARGE_M-gpt_oss_120b,489.0524327361543,339.8873284895569,484.3462353555516,1.4388663293494346,1.009716597419505,0.049400001764297485,0.07107999920845032,0.049880001693964005
32768,2880,2880,LARGE_M-gpt_oss_120b,918.1458346702551,902.5954519643589,1094.1618512044972,1.0172285187921712,0.8391316455234875,0.5920429825782776,0.6022430062294006,0.4968020021915436
4096,128,2880,LARGE_MK-gpt_oss_120b,130.39287384225088,79.9761341616207,119.26931237225145,1.630397308011224,1.0932642374534842,0.023159999400377274,0.03776000067591667,0.02531999908387661
16384,128,4096,LARGE_MK-qwen3_235b_a22b,375.43421845567076,262.364186194505,414.1723419499728,1.4309659557625014,0.9064685891097451,0.04575999826192856,0.06548099964857101,0.04148000106215477
32768,2112,7168,LARGE_MK-deepseek_r1,873.7873225704171,879.0822297216865,1000.7801807877618,0.9939767783123704,0.8731061419328043,1.13544499874115,1.1286059617996216,0.9913640022277832
4096,32768,512,LARGE_MN-deepseek_r1,646.0995867283325,627.2285956320983,829.7399659404517,1.0300863054198235,0.7786771919513654,0.21272100508213043,0.21912099421024323,0.16564099490642548
8192,24576,1536,LARGE_MN-deepseek_r1,909.0372215034506,921.4429535373246,1114.9263027766233,0.9865366249899143,0.815333909729796,0.6803629994392395,0.6712030172348022,0.5547230243682861
32768,24576,1536,LARGE_MN-deepseek_r1,919.7438530399417,921.6489572064118,1131.138294691739,0.9979329394868035,0.8131135311713523,2.689771890640259,2.6842119693756104,2.1870899200439453
4096,64,64,LARGE_M_SKINNY-synthetic,2.460002426557222,1.5534458856310025,2.4966095436286495,1.5835778055171714,0.985337267829946,0.01363999955356121,0.02160000056028366,0.013439999893307686
8192,64,64,LARGE_M_SKINNY-synthetic,4.673319096589104,2.9076630025470918,4.920004853114444,1.6072423429040128,0.9498606680501172,0.014360000379383564,0.023080000653862953,0.01363999955356121
16384,64,32,LARGE_M_SKINNY-synthetic,4.621822673864871,2.9279609796119157,4.905618764320646,1.5785123866225386,0.9421487677518136,0.014519999735057354,0.022919999435544014,0.013679999858140945
4,32768,512,LARGE_N-deepseek_r1,9.06876540266618,5.815073991574554,7.078994434652583,1.5595270869821936,1.2810810188341741,0.014800000004470348,0.02308100089430809,0.018959999084472656
16,24576,1536,LARGE_N-deepseek_r1,33.00435830153188,40.05170855639948,43.640156767787936,0.8240437047786923,0.7562841370426366,0.03660000115633011,0.030160000547766685,0.02768000029027462
256,24576,1536,LARGE_N-deepseek_r1,465.94388469371944,416.1789874166221,503.84131921220506,1.1195757084854443,0.9247829960080662,0.04148000106215477,0.0464400015771389,0.038359999656677246
1,512,128,LARGE_NK-deepseek_r1,0.009127576360525594,0.005591808952494442,0.009416092073770917,1.632311911595958,0.9693592935386643,0.014360000379383564,0.023439999669790268,0.013919999822974205
16,28672,4096,LARGE_NK-llama3_mlp,85.56490691405506,73.40032185424809,67.93377606270549,1.1657293149744266,1.2595340914816122,0.04392100125551224,0.05119999870657921,0.055319998413324356
4096,16384,53248,LARGE_NK-llama3_fp8,1018.6477466628169,1037.7944911988156,1303.226869942599,0.9815505432931318,0.7816350093423745,7.015993118286133,6.886551856994629,5.483945846557617
64,4096,64,LARGE_N_SKINNY-synthetic,2.3763761341977725,1.43634403509676,2.460002426557222,1.6544616583015828,0.9660056057438592,0.014120000414550304,0.023360999301075935,0.01363999955356121
64,8192,64,LARGE_N_SKINNY-synthetic,4.621822673864871,2.9076630025470918,4.834932408187931,1.589531754476426,0.9559229134284981,0.014519999735057354,0.023080000653862953,0.013880000449717045
32,16384,64,LARGE_N_SKINNY-synthetic,4.793490137755106,2.917776689981096,4.77983368448714,1.6428570953406865,1.0028570980016078,0.014000000432133675,0.023000000044703484,0.014039999805390835
4096,4096,1536,MEDIUM-qwen3_235b_a22b,741.3530547573426,699.496610035849,846.0211340685114,1.0598379522087298,0.8762819566837291,0.06952100247144699,0.07368099689483643,0.060920000076293945
8192,5120,2880,MEDIUM-gpt_oss_120b,887.8073593045868,915.5335637128272,1113.321614702515,0.9697157968782703,0.7974401534832442,0.27212199568748474,0.26388099789619446,0.21700100600719452
16384,2112,7168,MEDIUM-deepseek_r1,825.2366704161335,872.8640378388351,1078.7808128396066,0.9454355256282245,0.7649715869935758,0.6011229753494263,0.568323016166687,0.4598419964313507
4096,16384,16384,MEDIUM-llama3_fp8,994.8125832572963,1011.5055665496523,1255.8892760811048,0.9834968942886816,0.7921180650268183,2.2104899883270264,2.1740100383758545,1.7509690523147583
64,512,128,SMALL-deepseek_r1,0.6061132884414991,0.36599512245148946,0.5592405458333336,1.6560693060105902,1.0838149933108296,0.01384000014513731,0.022919999435544014,0.014999999664723873
