category,n,without_geo,with_geo,delta,without_win%,with_win%
LARGE_M,2,1.3440,1.2815,-0.0625,100,100
LARGE_K_SKINNY,3,2.0250,1.9716,-0.0534,100,100
LARGE_M_SKINNY,3,1.5640,1.0276,-0.5364,100,67
LARGE_N_SKINNY,3,1.5040,1.4669,-0.0371,100,100
SMALL,6,1.5070,1.2665,-0.2405,100,83
LARGE_MN,13,1.1060,1.1158,+0.0098,92,100
LARGE_N,14,1.0590,1.3717,+0.3127,71,100
LARGE,18,1.1350,1.1652,+0.0302,83,100
LARGE_MK,18,1.4210,1.3618,-0.0592,94,83
LARGE_K,28,1.8970,1.9343,+0.0373,100,100
VERY_LARGE,49,1.1610,1.1670,+0.0060,98,100
MEDIUM,53,1.0760,1.1115,+0.0355,75,98
LARGE_NK,261,1.3840,1.5895,+0.2055,79,92
