category,n,without_geo,with_geo,delta,without_win%,with_win%
LARGE_M,2,1.3440,1.3299,-0.0141,100,100
LARGE_K_SKINNY,3,2.0250,2.0478,+0.0228,100,100
LARGE_M_SKINNY,3,1.5640,1.5443,-0.0197,100,100
LARGE_N_SKINNY,3,1.5040,1.5659,+0.0619,100,100
SMALL,6,1.5070,1.2739,-0.2331,100,83
LARGE_MN,13,1.1060,1.1175,+0.0115,92,100
LARGE_N,14,1.0590,1.0622,+0.0032,71,71
LARGE,18,1.1350,1.1641,+0.0291,83,100
LARGE_MK,18,1.4210,1.4357,+0.0147,94,94
LARGE_K,28,1.8970,1.8625,-0.0345,100,96
VERY_LARGE,49,1.1610,1.1671,+0.0061,98,100
MEDIUM,53,1.0760,1.1080,+0.0320,75,96
LARGE_NK,261,1.3840,1.3915,+0.0075,79,79
