M,N,K,regime,pm_tflops,auto_tflops,rb_tflops,pm_vs_auto,pm_vs_rb,pm_ms,auto_ms,rb_ms
8192,5120,5120,LARGE-llama4_maverick,977.2794476861422,952.4856136021488,1187.1043158337993,1.026030665166928,0.823246478553757,0.4394820034503937,0.45092201232910156,0.36180201172828674
8192,16384,5120,LARGE-llama4_maverick,1004.872003978315,1038.08519811836,1268.6769885905348,0.96800532923478,0.7920629230413488,1.3677259683609009,1.3239660263061523,1.0833250284194946
16384,16384,16384,LARGE-llama3_fp8,989.3343309787606,1020.2342956408424,1293.0350220390667,0.9697128739995232,0.7651257035703629,8.890920639038086,8.6216402053833,6.802671909332275
4,128,2880,LARGE_K-gpt_oss_120b,0.17512589379841353,0.10547639273841808,0.10183425159919529,1.6603326038341728,1.7197150374088614,0.016839999705553055,0.027960000559687614,0.028960000723600388
32,128,5120,LARGE_K-llama4_maverick,2.508554925732874,1.1676792363846185,2.2696451254486,2.148325368446124,1.1052630640823433,0.016720000654459,0.035920001566410065,0.018479999154806137
256,256,7168,LARGE_K-deepseek_r1,44.910331552230375,15.596349409268637,43.73948377374129,2.8795412550542725,1.0267686693456586,0.020919999107718468,0.0602400004863739,0.021479999646544456
64,64,4096,LARGE_K_SKINNY-synthetic,2.162012385207979,1.0512039800315331,0.9709037413127478,2.056701102999177,2.2268040519493177,0.015519999898970127,0.03192000091075897,0.03455999866127968
64,64,8192,LARGE_K_SKINNY-synthetic,3.2451096122549057,1.455060865776955,3.569620477025804,2.2302225897073544,0.9090909336554233,0.020679999142885208,0.04612100124359131,0.018799999728798866
32,64,16384,LARGE_K_SKINNY-synthetic,2.239948665287586,0.8886237129068967,3.577231666295392,2.5206942294620838,0.6261681865315962,0.02996000088751316,0.07552000135183334,0.01875999942421913
32768,128,2880,LARGE_M-gpt_oss_120b,474.82686796902806,335.1719010274686,466.7450476342499,1.4166666910723944,1.0173152781711168,0.05087999999523163,0.07208000123500824,0.05176100134849548
32768,2880,2880,LARGE_M-gpt_oss_120b,907.9626425892959,897.4705944074535,1098.5844851983104,1.0116906874132958,0.8264841300989204,0.5986829996109009,0.6056820154190063,0.49480199813842773
4096,128,2880,LARGE_MK-gpt_oss_120b,132.2197368168422,80.65969610094118,116.14995452662727,1.6392292955254437,1.1383537544694513,0.022840000689029694,0.03743999823927879,0.026000000536441803
16384,128,4096,LARGE_MK-qwen3_235b_a22b,381.0973755566564,260.77518260184195,392.2344553483038,1.4614020082521633,0.9716060645876771,0.045079998672008514,0.06588000059127808,0.043800000101327896
32768,2112,7168,LARGE_MK-deepseek_r1,871.239865132825,875.5763850429644,1001.1033420339435,0.9950472397563274,0.8702796490147814,1.1387649774551392,1.1331249475479126,0.9910439848899841
4096,32768,512,LARGE_MN-deepseek_r1,641.1565319422015,631.2618133939125,822.9828464434465,1.0156745083234024,0.7790642717682211,0.21436099708080292,0.21772100031375885,0.16700099408626556
8192,24576,1536,LARGE_MN-deepseek_r1,902.088249264694,925.1922235283229,1116.939906055441,0.975027919954278,0.8076425995472647,0.6856039762496948,0.6684830188751221,0.5537229776382446
32768,24576,1536,LARGE_MN-deepseek_r1,924.2240996072356,921.4152151453095,1125.6005527893592,1.0030484459294318,0.8210942126111336,2.6767330169677734,2.6848928928375244,2.197849988937378
4096,64,64,LARGE_M_SKINNY-synthetic,2.4174662040939654,1.487341816307027,2.336659548294552,1.6253602081170397,1.0345821263771144,0.013880000449717045,0.0225600004196167,0.014360000379383564
8192,64,64,LARGE_M_SKINNY-synthetic,4.807225170975609,2.969418665909628,4.634589939447821,1.6189112118694795,1.037249300107089,0.01396000012755394,0.022600000724196434,0.014480000361800194
16384,64,32,LARGE_M_SKINNY-synthetic,4.793490137755106,2.974683632614054,4.415056767659281,1.6114285516617257,1.0857142705090197,0.014000000432133675,0.0225600004196167,0.015200000256299973
4,32768,512,LARGE_N-deepseek_r1,9.218250524355451,5.755477034267074,7.677920822705916,1.6016483897810116,1.2006180758069707,0.014560000039637089,0.023320000618696213,0.0174809992313385
16,24576,1536,LARGE_N-deepseek_r1,32.824987097707954,39.63121986096474,45.82547695420708,0.8282608310535334,0.7163043197675742,0.03680000081658363,0.030479999259114265,0.026359999552369118
256,24576,1536,LARGE_N-deepseek_r1,463.70807334485227,411.56179639982554,519.5524935691986,1.1267033952159338,0.8925143832133133,0.041680000722408295,0.04696099832653999,0.03720000013709068
1,512,128,LARGE_NK-deepseek_r1,0.00923042247515684,0.005516498259897791,0.010336908766619518,1.6732394429012039,0.8929577191359372,0.0142000000923872,0.023760000243782997,0.012679999694228172
16,28672,4096,LARGE_NK-llama3_mlp,70.16610138360808,73.80393753619967,69.38878251038012,0.9507094570556308,1.0112023708315054,0.05355999991297722,0.050919998437166214,0.05415999889373779
4096,16384,53248,LARGE_NK-llama3_fp8,1016.8332372145333,1036.271455915606,1302.9135091216247,0.9812421556242731,0.7804303433004114,7.028512954711914,6.896673202514648,5.485264778137207
64,4096,64,LARGE_N_SKINNY-synthetic,2.410519570885355,1.461429981698212,2.460002426557222,1.649425289663403,0.9798850378610731,0.013919999822974205,0.02295999974012375,0.01363999955356121
64,8192,64,LARGE_N_SKINNY-synthetic,4.64742823643158,2.9485441021308927,4.848906307531993,1.576177284603922,0.9584487597156807,0.014440000057220459,0.022760000079870224,0.01384000014513731
32,16384,64,LARGE_N_SKINNY-synthetic,4.834932408187931,2.8630061836771543,4.510004397365305,1.6887607284096386,1.0720460518868775,0.013880000449717045,0.023439999669790268,0.014879999682307243
4096,4096,1536,MEDIUM-qwen3_235b_a22b,744.3617887249254,698.7473638765122,869.4265689411945,1.065280281839424,0.8561525668940903,0.06923999637365341,0.0737600028514862,0.05928000062704086
8192,5120,2880,MEDIUM-gpt_oss_120b,892.4018478502866,910.5611694197244,1120.5509878286402,0.9800569998158276,0.7963955746266824,0.2707209885120392,0.2653219997882843,0.21560099720954895
16384,2112,7168,MEDIUM-deepseek_r1,818.8614321278533,871.0264089522899,1086.81656012825,0.940110912495543,0.7534495352474416,0.6058030128479004,0.5695220232009888,0.4564419984817505
4096,16384,16384,MEDIUM-llama3_fp8,985.503651532654,1011.6544557731107,1249.638189512835,0.9741504581023447,0.7886311892539452,2.231369972229004,2.1736900806427,1.759727954864502
64,512,128,SMALL-deepseek_r1,0.6078701519507457,0.37382389414950085,0.5562737299499928,1.6260869395032418,1.0927536556604807,0.013799999840557575,0.022439999505877495,0.015080000273883343
