M,N,K,regime,pm_tflops,auto_tflops,rb_tflops,pm_vs_auto,pm_vs_rb,pm_ms,auto_ms,rb_ms
8192,5120,5120,LARGE-llama4_maverick,895.452704767276,934.0906042129195,1166.3468095388525,0.95863581191013,0.7677413762732528,0.47964200377464294,0.4598020017147064,0.36824101209640503
8192,16384,5120,LARGE-llama4_maverick,958.5342162703904,958.9616363501705,778.2469584246393,0.999554288656002,1.2316581592695155,1.433845043182373,1.4332059621810913,1.7660069465637207
16384,16384,16384,LARGE-llama3_fp8,891.5311472696087,905.6748691454011,722.0704569899852,0.9843832236516197,1.234687195188729,9.866276741027832,9.712197303771973,12.18176555633545
4,128,2880,LARGE_K-gpt_oss_120b,0.17347763763110993,0.10593103582992282,0.10747521738422444,1.6376469489983683,1.6141175784825492,0.017000000923871994,0.02783999964594841,0.02744000032544136
32,128,5120,LARGE_K-llama4_maverick,2.29447708751299,1.1768529313587315,2.1399509950281135,1.9496718972895868,1.072210108008967,0.018279999494552612,0.03564000129699707,0.019600000232458115
256,256,7168,LARGE_K-deepseek_r1,40.01380311011728,15.524191742680426,40.288339239869515,2.5775128118334134,0.9931857173829456,0.023479999974370003,0.060520000755786896,0.023320000618696213
64,64,4096,LARGE_K_SKINNY-synthetic,1.9925435027730607,1.048543236375321,0.9048955660637001,1.900296939266927,2.201959626612642,0.016839999705553055,0.03200099989771843,0.037080999463796616
64,64,8192,LARGE_K_SKINNY-synthetic,2.8926234850624257,1.4401044064175068,3.322221119498094,2.00862067512056,0.8706896323323084,0.02319999970495701,0.04659999907016754,0.02019999921321869
32,64,16384,LARGE_K_SKINNY-synthetic,1.9239925999889549,0.8890946571934322,3.2832126564887596,2.1639907341950986,0.5860091323010962,0.03488000109791756,0.07547999918460846,0.02043999917805195
32768,128,2880,LARGE_M-gpt_oss_120b,479.33953267111065,340.84155806454106,473.7096370934257,1.4063412202227519,1.0118846971580073,0.0504009984433651,0.07088100165128708,0.050999999046325684
32768,2880,2880,LARGE_M-gpt_oss_120b,821.0175672493975,853.2368123145551,702.9896052587656,0.9622388009985678,1.1678943203536938,0.6620830297470093,0.6370819807052612,0.7732430100440979
4096,128,2880,LARGE_MK-gpt_oss_120b,132.68448459589018,80.4877124916463,108.94295870111134,1.6485060947614991,1.2179262081537048,0.022760000079870224,0.03751999884843826,0.027720000594854355
16384,128,4096,LARGE_MK-qwen3_235b_a22b,375.10631054632825,260.77518260184195,378.4112062659864,1.4384279470299515,0.9912663904637774,0.04580000042915344,0.06588000059127808,0.04540000110864639
32768,2112,7168,LARGE_MK-deepseek_r1,857.5345239696921,864.8301302433416,979.7108056484315,0.9915641164449293,0.8752935244009321,1.1569650173187256,1.1472049951553345,1.0126839876174927
4096,32768,512,LARGE_MN-deepseek_r1,558.3317889090212,595.1773694372891,501.673412134425,0.9380931090120183,1.112938767341759,0.24616000056266785,0.23092100024223328,0.27396100759506226
8192,24576,1536,LARGE_MN-deepseek_r1,864.9000018055713,844.6785124099856,673.7768945647965,1.023939864810685,1.283659337063234,0.7150830030441284,0.7322019934654236,0.9179229736328125
32768,24576,1536,LARGE_MN-deepseek_r1,897.9902533653884,882.1970797230427,621.680999283291,1.0179020924069526,1.4444550410912385,2.7549309730529785,2.8042500019073486,3.9793739318847656
4096,64,64,LARGE_M_SKINNY-synthetic,2.410519570885355,1.4562923111489576,2.167599023204069,1.6552443162894606,1.1120689505212127,0.013919999822974205,0.023041000589728355,0.015479999594390392
8192,64,64,LARGE_M_SKINNY-synthetic,4.6991712029874275,2.1845333885192884,4.042459133554604,2.15110981030718,1.1624536075038476,0.014281000010669231,0.030719999223947525,0.016600999981164932
16384,64,32,LARGE_M_SKINNY-synthetic,4.699500355730529,2.985269776060334,4.290848114383082,1.5742297039339836,1.095238104555048,0.014279999770224094,0.02247999981045723,0.015639999881386757
4,32768,512,LARGE_N-deepseek_r1,9.346638193178208,5.745621690719422,7.034472118059677,1.6267409683925595,1.3286907725716166,0.014360000379383564,0.023360000923275948,0.01907999999821186
16,24576,1536,LARGE_N-deepseek_r1,33.51626163740324,39.527472421688685,43.32710022035408,0.8479232185616022,0.7735634618274791,0.03604099899530411,0.030559999868273735,0.027879999950528145
256,24576,1536,LARGE_N-deepseek_r1,480.3019976064095,411.2202871018565,484.15214328135295,1.1679919806277503,0.9920476533495256,0.04024000093340874,0.04699999839067459,0.03991999849677086
1,512,128,LARGE_NK-deepseek_r1,0.00917871163228619,0.005461333285861546,0.008953005637257993,1.680672310559822,1.0252100807452773,0.014279999770224094,0.024000000208616257,0.014639999717473984
16,28672,4096,LARGE_NK-llama3_mlp,85.80128710744147,73.40032185424809,67.2999491204757,1.1689497394550683,1.2749086474619165,0.043800000101327896,0.05119999870657921,0.05584099888801575
4096,16384,53248,LARGE_NK-llama3_fp8,870.7666009943654,933.5387495028975,715.6761052139383,0.9327589256022228,1.2167048678173567,8.207509994506836,7.655628204345703,9.986117362976074
64,4096,64,LARGE_N_SKINNY-synthetic,2.4036125854878043,1.4315030918385772,2.162012385207979,1.6790830555599294,1.1117478336076154,0.01396000012755394,0.023439999669790268,0.015519999898970127
64,8192,64,LARGE_N_SKINNY-synthetic,4.6603378578317916,2.7962026423611115,4.258176434912016,1.666666709783453,1.0944445184615947,0.014399999752640724,0.024000000208616257,0.01576000079512596
32,16384,64,LARGE_N_SKINNY-synthetic,4.725976307280302,2.902632639470916,4.43841703479746,1.628168939815181,1.0647887006174408,0.0142000000923872,0.02311999909579754,0.015119999647140503
4096,4096,1536,MEDIUM-qwen3_235b_a22b,494.24248521591227,677.0836816755038,592.9545235696683,0.7299577564664759,0.833525111235351,0.1042800024151802,0.07611999660730362,0.08692000061273575
8192,5120,2880,MEDIUM-gpt_oss_120b,865.7936185050246,893.457899665617,1115.58362474389,0.9690368385897691,0.7760902896936921,0.27904099225997925,0.2704010009765625,0.21656100451946259
16384,2112,7168,MEDIUM-deepseek_r1,825.6225820915915,868.7672489951218,1098.269847376691,0.9503380601036302,0.7517483832080613,0.6008419990539551,0.5710030198097229,0.4516820013523102
